EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	13:54:52	0	0.1000	0.29107811796985217	0.23140907287597656	0.8775	0.7547	0.8115	0.22217629849910736	0.8913	0.7599	0.8204
1	14:06:52	0	0.1000	0.19745653497692722	0.1828179657459259	0.8981	0.8221	0.8584	0.17668411135673523	0.8872	0.8096	0.8466
2	14:18:41	0	0.1000	0.1604959022178746	0.1503918319940567	0.9121	0.8601	0.8853	0.14348039031028748	0.9193	0.8405	0.8781
3	14:30:26	0	0.1000	0.1332442320933278	0.12675678730010986	0.9218	0.9361	0.9289	0.1232551634311676	0.9235	0.9108	0.9171
4	14:42:24	0	0.1000	0.10741095703670242	0.1519201695919037	0.8746	0.8912	0.8828	0.14529357850551605	0.8818	0.8954	0.8885
